,X,property_type,claim_id,claim_amount,property_value,pml,deductible,claim_status,payment,incident_date,payment_date,incident_type,prem,cluster,XL_lower_lim,XL_upper_lim,XL_lower_lim_%_PML,net_prem,% of risk not removed,layer_prem
1,1,house,723949d8,196740,"528,000","106,000","5,000",settled,191740,02/07/2007,30/09/2007,water damage,533,Y4,"20,000","100,000",19%,503,37%,186
2,2,house,90d02e95,187650,"533,000","107,000","1,000",open,20000,03/04/2011,02/07/2011,theft,547,,,,,,,
3,3,house,344c54d1,206580,"366,000","73,000","2,000",settled,204580,12/01/2019,12/04/2019,nat cat,363,,,,,,,
4,4,house,b3968015,201550,"234,000","47,000","5,000",under investigation,0,17/08/2005,NA,nat cat,217,,,,,,,
5,5,house,b0e31207,205740,"411,000","82,000",500,settled,205240,21/05/2023,19/08/2023,fire,414,,,,,,,
6,6,house,f66d1e60,207780,"278,000","56,000","5,000",settled,202780,16/12/2016,16/03/2017,other,266,,,,,,,
7,7,house,87281d6e,191240,"323,000","65,000","5,000",settled,186240,11/09/2022,10/12/2022,nat cat,336,,,,,,,
8,8,house,c9c8da94,195140,"537,000","107,000","2,000",settled,193140,02/10/2022,31/12/2022,fire,549,,,,,,,
9,9,house,01b15438,214540,"430,000","86,000","1,000",open,20000,07/12/2015,06/03/2016,theft,438,,,,,,,
10,10,house,09e6ef2d,197940,"385,000","77,000","2,000",settled,195940,01/10/2023,30/12/2023,fire,392,,,,,,,
11,11,house,2b61e801,233370,"381,000","76,000","5,000",settled,228370,11/07/2018,09/10/2018,water damage,383,,,,,,,
12,12,house,00b1d3cc,213590,"97,000","19,000",500,settled,213090,08/09/2015,07/12/2015,other,111,,,,,,,
13,13,house,0a135cc6,189200,"393,000","79,000","2,000",under investigation,0,04/06/2022,NA,water damage,400,,,,,,,
14,14,house,2f3325e5,214470,"521,000","104,000","1,000",settled,213470,12/11/2011,10/02/2012,water damage,511,,,,,,,
15,15,house,8ce48a01,193040,"544,000","109,000","2,000",settled,191040,08/05/2012,06/08/2012,fire,553,,,,,,,
