,property_value,pml,deductible,claim_amount,Cluster,curve,ded%
0,528000.0,106000.0,5000.0,196740.0,1,Y2,0.04716981132075472
1,533000.0,107000.0,1000.0,187650.0,1,Y2,0.009345794392523364
2,366000.0,73000.0,2000.0,206580.0,1,Y2,0.0273972602739726
3,411000.0,82000.0,500.0,205740.0,1,Y2,0.006097560975609756
4,278000.0,56000.0,5000.0,207780.0,1,Y2,0.08928571428571429
5,323000.0,65000.0,5000.0,191240.0,1,Y2,0.07692307692307693
6,537000.0,107000.0,2000.0,195140.0,1,Y2,0.018691588785046728
7,430000.0,86000.0,1000.0,214540.0,1,Y2,0.011627906976744186
8,385000.0,77000.0,2000.0,197940.0,1,Y2,0.025974025974025976
9,381000.0,76000.0,5000.0,233370.0,1,Y2,0.06578947368421052
10,97000.0,19000.0,500.0,213590.0,1,Y2,0.02631578947368421
11,521000.0,104000.0,1000.0,214470.0,1,Y2,0.009615384615384616
12,544000.0,109000.0,2000.0,193040.0,1,Y2,0.01834862385321101
13,623000.0,125000.0,1000.0,195090.0,1,Y2,0.008
14,515000.0,103000.0,1000.0,218310.0,1,Y2,0.009708737864077669
15,198000.0,40000.0,2000.0,196040.0,1,Y2,0.05
16,361000.0,72000.0,500.0,210580.0,1,Y2,0.006944444444444444
17,609000.0,122000.0,1000.0,224720.0,1,Y2,0.00819672131147541
18,613000.0,123000.0,1000.0,196940.0,1,Y2,0.008130081300813009
19,379000.0,76000.0,2000.0,182480.0,1,Y2,0.02631578947368421
20,363000.0,73000.0,1000.0,222380.0,1,Y2,0.0136986301369863
21,649000.0,130000.0,2000.0,200630.0,1,Y2,0.015384615384615385
22,366000.0,73000.0,500.0,195130.0,1,Y2,0.00684931506849315
23,353000.0,71000.0,1000.0,205280.0,1,Y2,0.014084507042253521
24,609000.0,122000.0,500.0,183110.0,1,Y2,0.004098360655737705
25,424000.0,85000.0,5000.0,186560.0,1,Y2,0.058823529411764705
26,345000.0,69000.0,1000.0,184570.0,1,Y2,0.014492753623188406
27,552000.0,110000.0,5000.0,180250.0,1,Y2,0.045454545454545456
28,359000.0,72000.0,2000.0,207030.0,1,Y2,0.027777777777777776
29,300000.0,60000.0,1000.0,203270.0,1,Y2,0.016666666666666666
30,574000.0,115000.0,5000.0,201710.0,1,Y2,0.043478260869565216
31,352000.0,70000.0,5000.0,192820.0,1,Y2,0.07142857142857142
32,215000.0,43000.0,500.0,187820.0,1,Y2,0.011627906976744186
33,437000.0,87000.0,500.0,175380.0,1,Y2,0.005747126436781609
34,370000.0,74000.0,5000.0,175990.0,1,Y2,0.06756756756756757
35,774000.0,155000.0,5000.0,196190.0,1,Y2,0.03225806451612903
36,497000.0,99000.0,1000.0,185870.0,1,Y2,0.010101010101010102
37,431000.0,86000.0,1000.0,210690.0,1,Y2,0.011627906976744186
38,413000.0,83000.0,5000.0,189710.0,1,Y2,0.060240963855421686
39,339000.0,68000.0,500.0,218470.0,1,Y2,0.007352941176470588
40,473000.0,95000.0,1000.0,189970.0,1,Y2,0.010526315789473684
41,488000.0,98000.0,1000.0,200620.0,1,Y2,0.01020408163265306
42,447000.0,89000.0,500.0,185360.0,1,Y2,0.0056179775280898875
43,548000.0,110000.0,2000.0,211450.0,1,Y2,0.01818181818181818
44,492000.0,98000.0,1000.0,219810.0,1,Y2,0.01020408163265306
45,501000.0,100000.0,5000.0,219160.0,1,Y2,0.05
46,555000.0,111000.0,2000.0,217150.0,1,Y2,0.018018018018018018
47,292000.0,58000.0,2000.0,197390.0,1,Y2,0.034482758620689655
48,467000.0,93000.0,500.0,213190.0,1,Y2,0.005376344086021506
49,192000.0,38000.0,1000.0,188570.0,1,Y2,0.02631578947368421
50,644000.0,129000.0,500.0,207640.0,1,Y2,0.003875968992248062
51,537000.0,107000.0,500.0,218760.0,1,Y2,0.004672897196261682
52,473000.0,95000.0,500.0,184740.0,1,Y2,0.005263157894736842
53,240000.0,48000.0,500.0,184860.0,1,Y2,0.010416666666666666
54,305000.0,61000.0,5000.0,180970.0,1,Y2,0.08196721311475409
55,523000.0,105000.0,500.0,210030.0,1,Y2,0.004761904761904762
56,383000.0,77000.0,5000.0,199210.0,1,Y2,0.06493506493506493
57,630000.0,126000.0,5000.0,192150.0,1,Y2,0.03968253968253968
58,603000.0,121000.0,500.0,200000.0,1,Y2,0.004132231404958678
59,604000.0,121000.0,2000.0,188530.0,1,Y2,0.01652892561983471
60,381000.0,76000.0,2000.0,192160.0,1,Y2,0.02631578947368421
61,303000.0,61000.0,2000.0,189790.0,1,Y2,0.03278688524590164
62,698000.0,140000.0,500.0,215670.0,1,Y2,0.0035714285714285713
63,661000.0,132000.0,2000.0,190210.0,1,Y2,0.015151515151515152
64,315000.0,63000.0,5000.0,200460.0,1,Y2,0.07936507936507936
65,640000.0,128000.0,5000.0,196280.0,1,Y2,0.0390625
66,397000.0,79000.0,500.0,202280.0,1,Y2,0.006329113924050633
67,540000.0,108000.0,5000.0,206700.0,1,Y2,0.046296296296296294
68,568000.0,114000.0,1000.0,221260.0,1,Y2,0.008771929824561403
69,355000.0,71000.0,1000.0,183300.0,1,Y2,0.014084507042253521
70,585000.0,117000.0,1000.0,191740.0,1,Y2,0.008547008547008548
71,231000.0,46000.0,500.0,219430.0,1,Y2,0.010869565217391304
72,604000.0,121000.0,500.0,215270.0,1,Y2,0.004132231404958678
73,235000.0,47000.0,1000.0,203720.0,1,Y2,0.02127659574468085
74,384000.0,77000.0,2000.0,207980.0,1,Y2,0.025974025974025976
75,329000.0,66000.0,1000.0,197470.0,1,Y2,0.015151515151515152
76,451000.0,90000.0,2000.0,177490.0,1,Y2,0.022222222222222223
77,149000.0,30000.0,2000.0,191120.0,1,Y2,0.06666666666666667
78,511000.0,102000.0,1000.0,212920.0,1,Y2,0.00980392156862745
79,644000.0,129000.0,5000.0,213250.0,1,Y2,0.03875968992248062
80,312000.0,62000.0,500.0,208090.0,1,Y2,0.008064516129032258
81,392000.0,78000.0,5000.0,191110.0,1,Y2,0.0641025641025641
82,342000.0,68000.0,1000.0,180080.0,1,Y2,0.014705882352941176
83,259000.0,52000.0,500.0,194800.0,1,Y2,0.009615384615384616
84,494000.0,99000.0,1000.0,190940.0,1,Y2,0.010101010101010102
85,440000.0,88000.0,5000.0,178620.0,1,Y2,0.056818181818181816
86,789000.0,158000.0,2000.0,205590.0,1,Y2,0.012658227848101266
87,551000.0,110000.0,1000.0,228430.0,1,Y2,0.00909090909090909
88,624000.0,125000.0,1000.0,190360.0,1,Y2,0.008
89,394000.0,79000.0,5000.0,204310.0,1,Y2,0.06329113924050633
90,423000.0,85000.0,500.0,186460.0,1,Y2,0.0058823529411764705
91,744000.0,149000.0,5000.0,207730.0,1,Y2,0.03355704697986577
92,305000.0,61000.0,2000.0,222520.0,1,Y2,0.03278688524590164
93,371000.0,74000.0,1000.0,212540.0,1,Y2,0.013513513513513514
94,183000.0,37000.0,1000.0,220670.0,1,Y2,0.02702702702702703
95,533000.0,107000.0,1000.0,204950.0,1,Y2,0.009345794392523364
96,499000.0,100000.0,2000.0,217010.0,1,Y2,0.02
97,289000.0,58000.0,5000.0,216090.0,1,Y2,0.08620689655172414
98,625000.0,125000.0,5000.0,202590.0,1,Y2,0.04
99,359000.0,72000.0,1000.0,182980.0,1,Y2,0.013888888888888888
100,778000.0,156000.0,2000.0,185740.0,1,Y2,0.01282051282051282
101,482000.0,96000.0,2000.0,217180.0,1,Y2,0.020833333333333332
102,588000.0,118000.0,2000.0,177730.0,1,Y2,0.01694915254237288
103,575000.0,115000.0,5000.0,215850.0,1,Y2,0.043478260869565216
104,444000.0,89000.0,500.0,193220.0,1,Y2,0.0056179775280898875
105,437000.0,87000.0,500.0,235550.0,1,Y2,0.005747126436781609
106,213000.0,43000.0,5000.0,179420.0,1,Y2,0.11627906976744186
107,579000.0,116000.0,500.0,198760.0,1,Y2,0.004310344827586207
108,420000.0,84000.0,1000.0,190260.0,1,Y2,0.011904761904761904
109,485000.0,97000.0,500.0,177550.0,1,Y2,0.005154639175257732
110,274000.0,55000.0,5000.0,232300.0,1,Y2,0.09090909090909091
111,246000.0,49000.0,500.0,180270.0,1,Y2,0.01020408163265306
112,151000.0,30000.0,5000.0,203450.0,1,Y2,0.16666666666666666
113,352000.0,70000.0,1000.0,201260.0,1,Y2,0.014285714285714285
114,370000.0,74000.0,500.0,197330.0,1,Y2,0.006756756756756757
115,572000.0,114000.0,500.0,190520.0,1,Y2,0.0043859649122807015
116,442000.0,88000.0,2000.0,175630.0,1,Y2,0.022727272727272728
117,521000.0,104000.0,2000.0,168140.0,1,Y2,0.019230769230769232
118,382000.0,76000.0,1000.0,181310.0,1,Y2,0.013157894736842105
119,180000.0,36000.0,500.0,184980.0,1,Y2,0.013888888888888888
120,455000.0,91000.0,500.0,202870.0,1,Y2,0.005494505494505495
121,670000.0,134000.0,2000.0,221890.0,1,Y2,0.014925373134328358
122,269000.0,54000.0,2000.0,195240.0,1,Y2,0.037037037037037035
123,515000.0,103000.0,5000.0,194970.0,1,Y2,0.04854368932038835
124,349000.0,70000.0,2000.0,203110.0,1,Y2,0.02857142857142857
125,302000.0,60000.0,1000.0,227720.0,1,Y2,0.016666666666666666
126,355000.0,71000.0,2000.0,208030.0,1,Y2,0.028169014084507043
127,394000.0,79000.0,1000.0,184660.0,1,Y2,0.012658227848101266
128,371000.0,74000.0,2000.0,182900.0,1,Y2,0.02702702702702703
129,517000.0,103000.0,1000.0,202690.0,1,Y2,0.009708737864077669
130,438000.0,88000.0,2000.0,227470.0,1,Y2,0.022727272727272728
