,house,apartment,townhouse,shop,department store,factory,warehouse,sedan,SUV,sports car,marine cargo,turboprop aircraft,light sport aircraft,property_value,claim_amount,pml,deductible,payment,water damage,theft,nat cat,fire,other,collision
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0784186391061408,-0.06906064711888048,-0.15819170972088695,0.009750527983393221,-0.04904936669997966,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07485813562311727,-0.07235385328563647,-0.155792940779777,-0.15371313936185255,-0.11821643408228731,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19377895195610292,-0.06549572427169906,-0.23735108477751424,-0.11284722252554111,-0.043878147734166054,0.0,0.0,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16173442060889123,-0.06580004695377552,-0.21576216430752498,-0.17414609778000828,-0.043612337413493386,0.0,0.0,0.0,1.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2564438132573169,-0.0650609775830184,-0.27813015677638286,0.009750527983393221,-0.04460308497236422,0.0,0.0,0.0,0.0,1.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22439928191010522,-0.07105323610866683,-0.2565412363063936,0.009750527983393221,-0.05126445270558518,0.0,0.0,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07200973283669845,-0.06964030937045469,-0.155792940779777,-0.11284722252554111,-0.04848552662582553,0.0,0.0,0.0,1.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14820450737340185,-0.06261190457011735,-0.2061670885430853,-0.15371313936185255,-0.11821643408228731,0.0,1.0,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18024903872061354,-0.06862590043019981,-0.22775600901307458,-0.11284722252554111,-0.04735784647751727,0.0,0.0,0.0,1.0,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18309744150703236,-0.05579000444690333,-0.2301547779541845,0.009750527983393221,-0.0342968939026469,1.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38533403934276844,-0.06295607903198955,-0.36688460759744984,-0.17414609778000828,-0.040450805569129146,0.0,0.0,0.0,0.0,1.0,0.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08340334398237373,-0.06263726479362372,-0.1629892476031068,-0.15371313936185255,-0.04029776326328731,1.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06702502796046553,-0.07040111607564584,-0.1509954028975572,-0.11284722252554111,-0.04933128673705673,0.0,0.0,0.0,1.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010769072928693866,-0.06965842381581638,-0.11261509983979849,-0.15371313936185255,-0.04810292086122094,1.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08767594816200196,-0.06124607538984561,-0.1653880165442167,-0.15371313936185255,-0.1262712922844892,1.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3134118689856933,-0.06931424935394419,-0.31651045983414156,-0.11284722252554111,-0.11821643408228731,0.0,1.0,0.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19733945543912645,-0.06404656864276354,-0.23974985371862417,-0.17414609778000828,-0.04166306172856053,0.0,0.0,0.0,1.0,0.0,0.0
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02073848268115973,-0.05892380349447642,-0.11981140666312824,-0.15371313936185255,-0.03616964843465884,1.0,0.0,0.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017890079894740913,-0.0689881893374337,-0.11741263772201833,-0.15371313936185255,-0.04735784647751727,0.0,0.0,0.0,1.0,0.0,0.0
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18452164290024178,-0.07422688693603564,-0.2301547779541845,-0.11284722252554111,-0.05358425186781933,0.0,0.0,0.0,1.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19591525404591706,-0.05977155953740371,-0.23735108477751424,-0.15371313936185255,-0.03711206684431646,0.0,0.0,0.0,1.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007745545183028452,-0.06765134326974066,-0.1006212551342489,-0.11284722252554111,-0.046274468049321116,0.0,0.0,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19377895195610292,-0.06964393225952703,-0.23735108477751424,-0.17414609778000828,-0.04788543968976149,0.0,0.0,0.0,1.0,0.0,0.0
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2030362610119641,-0.06596669985110311,-0.24214862265973408,-0.15371313936185255,-0.04399897060719908,1.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02073848268115973,-0.0739986449244783,-0.11981140666312824,-0.17414609778000828,-0.05272640946928483,1.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15247711155303006,-0.0727487481945214,-0.20856585748419523,0.009750527983393221,-0.05314928952490043,0.0,0.0,0.0,1.0,0.0,0.0
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20873306658480173,-0.07346970311991684,-0.24694616054195392,-0.15371313936185255,-0.05233977627557914,1.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06132822238762789,-0.0750347911991672,-0.14859663395644726,0.009750527983393221,-0.11821643408228731,0.0,1.0,0.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19876365683233588,-0.06533269426344382,-0.23974985371862417,-0.11284722252554111,-0.043696913424616506,0.0,0.0,0.0,1.0,0.0,0.0
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24077759793201342,-0.06669490055464322,-0.2685350810119432,-0.15371313936185255,-0.04480848385652037,0.0,0.0,1.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045662007062324386,-0.06726007124992807,-0.13660278925089767,0.009750527983393221,-0.04704773443673249,0.0,0.0,0.0,1.0,0.0,0.0
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2037483617085688,-0.0704808196352373,-0.244547391600844,0.009750527983393221,-0.050628118907611236,1.0,0.0,0.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3013061571434133,-0.07229226417140672,-0.3093141530108118,-0.17414609778000828,-0.1262712922844892,0.0,0.0,0.0,1.0,0.0,0.0
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14321980249716892,-0.07679913817739621,-0.2037683196019754,-0.17414609778000828,-0.05583961216443586,1.0,0.0,0.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1909305491696841,-0.07657814194398355,-0.23495231583640433,0.009750527983393221,-0.05740628208476413,1.0,0.0,0.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09675813225861651,-0.06925990601785911,-0.04065203160650094,0.009750527983393221,-0.049270875300540216,0.0,0.0,0.0,1.0,0.0,0.0
36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10049376070088664,-0.07299872754051279,-0.17498309230865636,-0.15371313936185255,-0.05181621049243602,0.0,0.0,0.0,1.0,0.0,0.0
